score,review
2.0 out of 5 stars,"
  I was looking for a decent golf shirt at a good price.  The price ($9) seemed to be a tremendous bargain especially given the very positive reviews.  So, I ordered one to try.  Sizing was not an issue. The problem is the material is so flimsy it's almost transparent.  In part may have been because I ordered white.  I tried to return it through Amazon but got a message that it wasn't allowed.  So, I donated the shirt to a charity.  Darker colors may be better choice.  I think some may like this shirt but it wasn't what I expected.
"
4.0 out of 5 stars,"
  2/22/20: My apologies to Jerzees... I got my shirts mixed up and said some things in my original review that weren't true.  What follows is the updated, accurate assessment of their shirt.  I also upped the rating to 4 stars as I feel is appropriate.<br><br>I ordered the Kelly green polo, but their color palatte is off.  It is too bright/fluorescent to be considered a true Kelly green, so I'm disappointed about that.<br><br>But that's about all I'm disappointed with.  I have to say that the shirt is constructed/stitched in a quality manner, and size-wise it fits as expected, and it's not like the shirt looks disgustingly horrible or anything (despite the off color).  For under $10, it's really not all that bad of a shirt (I've paid a lot more for a lot worse in the past), and it represents a great value in men's clothing.
"
5.0 out of 5 stars,"
  Quality made but I feel it was a touch smallish. No problem I always order a size larger for Ts and Polos as I like a longer tail to tuck in. These aren't 100% cotton but are very comfortable anyway once washed. Having a little bit of synthetic fiber helps keep their shape and seems to make them last longer. Coupled with its low price I feel this is a bargain.<br>All in all very happy.
"
4.0 out of 5 stars,"
  The shirt came quickly and it looks and feels very nice for the price.  I generally wear size XL but this particular shirt in XL was much too large so I exchanged it for a size L.  The cotton-polyester blend is definitely superior to 100% cotton.  This shirt can be used as uniform attire or even business casual attire if you throw on some slacks.  I wish these came in wider array of colors, other than that, I'm very happy with this purchase.
"
3.0 out of 5 stars,"
  It is not a bad product it just has some flaws.  The sizing of this shirt runs a bit large - except in the sleeve diameter below the elbow.  When you looked at this did you note the banded cuffs?  These are fairly small and the diameter of the sleeves below the elbow is fairly small as well.  I live in the South where it rarely gets very cold.  It is important to be able to adjust warmth as the day progresses by shedding layers and \or rolling up sleeves.  That is the major problem with this shirt.  It is difficult to push the sleeves up and expose forearms.  I did grab the cuff and the lower sleeve and pull until it stretched out a bit.  I was then able to push them up some but not as far of as comfortably as I would like.
"
4.0 out of 5 stars,"
  I ordered these for my son because he has to wear a uniform to school. They are very well made and comfortable. I ordered a size bigger than my son usually wears because uniform shirts normally run small and my son is the size of a grown man. They are a little too big but they are wearable. The way my son is growing that might not be such a bad thing. These shirts are true to size so don't order a size up or size down. Unfortunately due to the coronavirus pandemic I changed my mind and ended up having my son not go to school and participate in remote learning so he will never get to wear them to school this year. Hopefully next year he will have to wear the same color as this year and he can use them in the 8th grade. I make him wear it during school hours during remote learning when he is in a class meeting on camera. I am glad that I only ordered two but I got them for a great price. I am a very happy customer and definitely recommend these shirts to everyone.
"
5.0 out of 5 stars,"
  I wish it was easier to find a shirt like this for women that didn't cost 3x as much. I usually wear an XL so I ordered a L because it was men's. It fits just a little bigger than I'd like but I figured it might shrink over time. I wear this shirt for work and I needed something that wouldn't stain and would wash and dry well. It also needs to hold up to repeated washings since I wash my work clothes after every shift. I also get coffee, mocha sauce, etc on me at work and so far this shirt is holding up great! Good value for the price.
"
2.0 out of 5 stars,"
  I ordered a black large and it was huge. At 50/50, it was not going to shrink so I exchanged it for a medium and the color to gray. The replacement is way too small and the weight of the fabric was far less. I give up. It is just too much trouble buying things on line. Now, I can't leave because of the virus. This one will go in the Goodwill box.
"
5.0 out of 5 stars,"
  You absolutely cannot beat the price! This is a ""tee shirt"" weight - not quite as soft as a tee shirt but not rough by any means. The fit is not too baggy but definitely big and square enough to fit a big guy (I am 6 feet and 220 pounds with broad shoulders). Not sure how it would do if you had a big belly but I have a regular sized waist and the shirt fits me fine. Great for wear when a tee shirt is too informal but you don't want to dress up any more.
"
4.0 out of 5 stars,"
  I ordered four these shirts, in four different colors. I ordered a large which is normally a bit big on me, but a better fit than a medium. With these shirts the large is a bit small, not small enough to return, but a little smaller than I have come to expect from a Men's Large.<br><br>The shirt is comfortable, but a bit thin. I have only had them for a couple washings, so I do not know how they will hold up long term. As thin as they are I am concerned. Time will tell.<br><br>Overall, for the price they are a great shirt. If they hold up well, I will buy again.
"
