score,review
1.0 out of 5 stars,"
  Wasn't very slim fitting. On top of that it wasn't long enough to tuck in properly (raising arms would undo shirt). Fabric over all was pretty gross. Apparent I'm going to have to pay for than 20 bucks for something decent
"
5.0 out of 5 stars,"
  This item arrived just in time. And fit perfectly.
"
5.0 out of 5 stars,"
  Great shirt and fits true to size. I stuck with my normal size and it is perfect.
"
5.0 out of 5 stars,"
  Personally don’t need to wear until Labor Day weekend but looks like the right size
"
5.0 out of 5 stars,"
  I read other reviews for size before buying. I bought XL, I’m 6’2”, 185 pounds. This shirt fits great and I will buy more in other colors.
"
4.0 out of 5 stars,"
  Very comfortable, the fabric is slightly itchy though. Really nice sturdy collar.
"
5.0 out of 5 stars,"
  Perfect fit, great material, great quality.  I'm buying every color they have.  Wish there were more options.
"
3.0 out of 5 stars,"
  The shirt is nice, but too small in every dimension. Felt like a small when I ordered a medium.
"
3.0 out of 5 stars,"
  Came in missing a few button holes so I guess I'll have to use scissors. Also had a strange discoloration in the back. Perhaps they were drinking coffee when they made the shirt. The material is fine though.
"
5.0 out of 5 stars,"
  Very nice material and fit well!
"
4.0 out of 5 stars,"
  It's fit good but could be a little longer
"
5.0 out of 5 stars,"
  Good fabric
"
5.0 out of 5 stars,"
  Quality, color, and texture nice.
"
5.0 out of 5 stars,"
  nice shirt for the price
"
5.0 out of 5 stars,"
  Great shirt!
"
5.0 out of 5 stars,"
  Great fit great quality
"
5.0 out of 5 stars,"
  Excellent buy.
"
4.0 out of 5 stars,"
  I wouldn't call the shirt slim, and it's not near as crisp as it looks in the photo. However, for the price, it's a decent dress shirt.
"
5.0 out of 5 stars,"
  Great
"
1.0 out of 5 stars,"
  Es muy mala calidad no es una camisa fina ,no me gusto para nada
"
5.0 out of 5 stars,"
  Great material. Good fit
"
5.0 out of 5 stars,"
  Nice fabric fits perfect
"
4.0 out of 5 stars,"
  its good. quality isnt super high, but for the price it gets a pass.
"
5.0 out of 5 stars,"
  Nice
"
4.0 out of 5 stars,"
  good.
"
5.0 out of 5 stars,"
  me encanta
"
4.0 out of 5 stars,"
  Only reason I gave four out of five is that the arms are just a touch bit too short. Fantastic shirt otherwise.
"
5.0 out of 5 stars,"
  I bought this for my brother and he loved it. The size and everything was as expected.
"
1.0 out of 5 stars,"
  When I took the shirt out the package I had to do a double take because the smell that came from the shirt was simply unbearable! It literally smelled like dead fish smh,
"
4.0 out of 5 stars,"
  Good quality
"
4.0 out of 5 stars,"
  Very comfortable shirt :)
"
5.0 out of 5 stars,"
  Very nice
"
4.0 out of 5 stars,"
  Very good quality for the price! I’m very very happy with this product! I bought this for my fiancé for our wedding and it came suuper quick and it looks amazing
"
5.0 out of 5 stars,"
  Great fit for muscular build!
"
3.0 out of 5 stars,"
  The color wasn’t white white. But it worked non the less.
"
5.0 out of 5 stars,"
  My favorite dress shirt, best value on any shirt I owned. Only problem is I want more colors offered.
"
3.0 out of 5 stars,"
  not impressed with myself for not looking at how to clean, its dry clean
"
5.0 out of 5 stars,"
  Dressing up
"
3.0 out of 5 stars,"
  Decent quality, but fit more like a Men’s Large rather than XL
"
5.0 out of 5 stars,"
  Nice shirt, fits as expected.
"
2.0 out of 5 stars,"
  Collar size was huge, everything else fine, I should’ve return it cause I’m not even going to wear it.
"
1.0 out of 5 stars,"
  This shirt is fake. I ordered a small, it came in a 42 which is not even a medium size. It is way too large. False advertising. Not slim fit one bit
"
5.0 out of 5 stars,"
  Great fit
"
3.0 out of 5 stars,"
  The circumference of the sleeves are a little on the small side. Otherwise it’s a great fit.
"
2.0 out of 5 stars,"
  Neck seemed way bigger in proportion to the sleeves and chest fit. Had to return since I wear ties and it looked bad.
"
1.0 out of 5 stars,"
  Shirt came and 2 buttons were off and in the bag. Ok put the buttons back on. No big deal. Wore it a few times and washed it. Cold water, air dry in a dryer. It shrunk to the point it is unwearable! Very disapointed and will not buy another.
"
5.0 out of 5 stars,"
  Perfect for cosplay or everyday wear
"
5.0 out of 5 stars,"
  Perfect
"
1.0 out of 5 stars,"
  The Shirt Size Was Xlarge but It Was Too Small For An Adult Man, Moreless It Could Fit A Teenager.
"
3.0 out of 5 stars,"
  Small
"
5.0 out of 5 stars,"
  Nice build and quality. Only problem is the size, too small for me.
"
5.0 out of 5 stars,"
  The material is not too thick yet I believe it's great for the Fall
"
3.0 out of 5 stars,"
  Don't know if I would buy this again for the price
"
2.0 out of 5 stars,"
  This was not a slum cut shirt at all
"
4.0 out of 5 stars,"
  Nice quality shirt, washes up well.<br>Not as slim fit as I would have preferred at waist.
"
2.0 out of 5 stars,"
  Bought extra large fit like a medium
"
2.0 out of 5 stars,"
  I was looking for a fitted dress shirt with darts in the back so that the shirt would be tapered along the back and waist.  The back pic of this shirt indicated that there were darts and the description indicated it would be a slim fit.  Disappointed.
"
5.0 out of 5 stars,"
  Perfect fit. Just what I expected!
"
3.0 out of 5 stars,"
  Great material and fit but sadly had a stain on the sleeve so waiting for a replacement.
"
5.0 out of 5 stars,"
  My hubby look great in this shirt!!
"
4.0 out of 5 stars,"
  I like it
"
3.0 out of 5 stars,"
  Had to tailor them to fit my slim sons.  Definitely not slim fit.
"
2.0 out of 5 stars,"
  XL fits like a medium
"
5.0 out of 5 stars,"
  High quality
"
5.0 out of 5 stars,"
  Great quality purchased his size and fits perfect.
"
1.0 out of 5 stars,"
  Not got quality arms were supper tight, ripped on me first time ware...
"
2.0 out of 5 stars,"
  Didn’t wear xl is not really xl buy a size bigger
"
5.0 out of 5 stars,"
  A work shirt
"
1.0 out of 5 stars,"
  Short, terrible neck fit, short sleeves, not a great shirt.
"
1.0 out of 5 stars,"
  I just reordered the same shirts as before but the sizing was different and too small
"
5.0 out of 5 stars,"
  The shirt is awesome
"
5.0 out of 5 stars,"
  got what i expected would order from them again
"
1.0 out of 5 stars,"
  Material feels like paper. Low low quality
"
2.0 out of 5 stars,"
  Way too slim for the size. Order sizes larger than you actually need. The shirt itself is of nice quality.
"
4.0 out of 5 stars,"
  Generally fits well except neck
"
5.0 out of 5 stars,"
  Fits well and great fabric
"
1.0 out of 5 stars,"
  Fit is not close to what they say
"
5.0 out of 5 stars,"
  Great value
"
1.0 out of 5 stars,"
  Size is too small
"
4.0 out of 5 stars,"
  Shoulder area is pretty tight for the neck and arm length. Otherwise fit great!
"
5.0 out of 5 stars,"
  It fits great
"
5.0 out of 5 stars,"
  small fit
"
3.0 out of 5 stars,"
  The shirt color is too bright
"
5.0 out of 5 stars,"
  Great
"
2.0 out of 5 stars,"
  Small
"
5.0 out of 5 stars,"
  Awesome shirt, fits good. Awesome striped design!
"
1.0 out of 5 stars,"
  small and poor material
"
1.0 out of 5 stars,"
  Too tight in waist
"
1.0 out of 5 stars,"
  Shirt has a white striping that was not in picture or description.
"
1.0 out of 5 stars,"
  Shirt way too small my arms won’t even fit in it
"
1.0 out of 5 stars,"
  The worst size chart
"
1.0 out of 5 stars,"
  Zero stars. When I opened the outer package, it looked as though the shirt was dirty. I proceeded to open the sealed inner package and discovered the “dirt” was actually mold!!
"
3.0 out of 5 stars,"
  Nice material but runs small. I am 6’ 190 and it’s tight a tight across the chest and back in a large. Also, a little short as there’s not much extra material to keep it tucked in.
"
5.0 out of 5 stars,"
  My son likes slim fitted shirts, and he looked real good in this shirt. I don't like the fact that I have to wash it and iron it.
"
2.0 out of 5 stars,"
  Ordered a Medium, looks more like an XS.  Size up 2 sizes for proper fit.
"
1.0 out of 5 stars,"
  Very small. I'd order up maybe 4 sizes.  Waste of $$
"
1.0 out of 5 stars,"
  Poor sizing chart. Returned product immediately
"
1.0 out of 5 stars,"
  Its a very nice shirt but i got the smallest size and it came pretty big
"
5.0 out of 5 stars,"
  Nice shirt for the money. Fits as expected. Looks sharp.
"
4.0 out of 5 stars,"
  Fits as expected. I knew it might be slightly big on my son... He is in the last leg of kids clothes and the first stage of men sizes... Thought this slim fit shirt would be my fitted. either wat he likes it but I would've preferred a closer fit because it's going under a suit.... I'm satisfied though..
"
5.0 out of 5 stars,"
  One of the best shirts i've bought on Amazon. Loved it so much I got it in 4 colors. :)
"
5.0 out of 5 stars,"
  A friend of mine brought me this shirt for my Light Yagami cosplay and it fits perfectly! It’s not too big a d it’s not too small. Everything from the neck to the waist fits as expected! I’m 5’4 and 117lbs so he ordered me a small, but it feels as if this shirt was tailored specifically for me! 10/10!
"
5.0 out of 5 stars,"
  Very nice shirt!
"
5.0 out of 5 stars,"
  No issues at all  Nice buy  for sure
"
5.0 out of 5 stars,"
  Perfecto !
"
5.0 out of 5 stars,"
  It is so soft and comfortable. Got it for cosplay and love it.
"
5.0 out of 5 stars,"
  Very nice looking shirt. High quality fabric. Looks very fancy. I approve
"
5.0 out of 5 stars,"
  Perfect. Exactly as described. Not too long either.
"
5.0 out of 5 stars,"
  I’m a woman and purchased this for myself as I like the over-sized look. I figured since it’s a ‘slim fit’ it wouldn’t be too big, which I was definitely correct. It’s a very nice, soft shirt. However, not like your typical cotton dress shirts. It’s a little thicker. Probably great for sweaty guys so it doesn’t show, but I found it made me hotter. Eitherwise, it is definitely a slim fit, and fit my frame. I’m 5’8”.
"
5.0 out of 5 stars,"
  I was surprised by the item, not buying men's clothing online prior. My husband normally buys a large because his neck is wider than a medium allows comfortably, but he had switched the size to medium without my knowledge and the shirt fit wonderfully. It fit to his body without excess material around the back and arms while having good space in the collar for him. Having been losing weight, his belly is a wee rounder than his frame normally would have, but the shirt fit without being tight there and would stay a nice shirt once slimmed properly. So to say it fit as expected is rather spot on. Needed a medium, fit into a medium.
"
4.0 out of 5 stars,"
  I ordered a large as I read that these fit small but that was not the case. I ordered my normal size (M) and it fit much better. Feels higher quality than those cheap mall store brand.
"
5.0 out of 5 stars,"
  It is very good product, I bought medium light blue aize 42 , it is a liiiitle tight because I am a little chubby now( I should loose my weight I am 94 kilo 175 cm)<br>I am going to order another with one size bigger. and I will keep this one.<br>The quality is soft when you touch it  and slim (not super slim that I dont like it).It is little thick in good way. I dont like some when you wear your body skin be visible<br>I recommand to buy it if you are not sure but make sure your size.
"
5.0 out of 5 stars,"
  I bought this for my Harry Potter costume.<br>I am a women and bought a small and it fits perfectly.<br>Very good quality, it's really long on me tho, keep that in mind. I'm tucking it in anyways :)
"
3.0 out of 5 stars,"
  This is a really great shirt super great material. Could have used a little more work on the stitching some of the stitching was coming out but all in all it was a great shirt. Unfortunately we gave it to our friend because my fiance did not fit it. There should be more sizes available extra large was not big enough.
"
4.0 out of 5 stars,"
  Durable fabric
"
5.0 out of 5 stars,"
  Stain was on the shirt upon arrival... but seller sent me another perfect one. Situation remedied and did not need escalation.
"
5.0 out of 5 stars,"
  Great shirt. Fit my son perfectly
"
2.0 out of 5 stars,"
  Belle chemise mais faite très très petite.
"
5.0 out of 5 stars,"
  Nice clean good
"
1.0 out of 5 stars,"
  Not at all what I was expecting, very disappointed with the shirt overall.
"
5.0 out of 5 stars,"
  Very nice
"
5.0 out of 5 stars,"
  Bought a M true to size - all reviews are accurate, high quality material &amp; detail on this dress shirt! Great buy
"
5.0 out of 5 stars,"
  Very good
"
3.0 out of 5 stars,"
  Super comfy, everything was good but the sleeves were way too small
"
4.0 out of 5 stars,"
  Fits well. Seems like good material. Time will tell. Will buy in another colour.
"
1.0 out of 5 stars,"
  I just got it and I found a cut on it, very poor quality..
"
2.0 out of 5 stars,"
  The arms where a little too big. I like it when the arms of a shirt are a little tight
"
5.0 out of 5 stars,"
  👍🏻👍🏻👍🏻
"
5.0 out of 5 stars,"
  It is a Great fit
"
5.0 out of 5 stars,"
  Great fit
"
5.0 out of 5 stars,"
  Nice purchase
"
4.0 out of 5 stars,"
  Beau produit.
"
1.0 out of 5 stars,"
  Le produit n'est pas slim fit et ne ressemble en rien à l'article sur la photo.
"
1.0 out of 5 stars,"
  Not slim fit
"
1.0 out of 5 stars,"
  Bad
"
