score,review
5.0 out of 5 stars,"
  Awesome fit and I am a large person
"
5.0 out of 5 stars,"
  My husbands favorite shirts!  Wish I could find more in his 3xl tall size!
"
5.0 out of 5 stars,"
  Son loved the shirt and fit
"
3.0 out of 5 stars,"
  The color is a deeper green. Do not buy this shirt if you want this color.
"
1.0 out of 5 stars,"
  I Bought XL size and after washing and drying the first time it became Small size. Shrunk a lot<br>I want to return the product. I fell cheated.
"
1.0 out of 5 stars,"
  The shirt was too small in the bottom stomach area. I felt it was too expensive as well.
"
4.0 out of 5 stars,"
  A most comfortable shirt in hot weather.  Feels cool and soft.
"
5.0 out of 5 stars,"
  Bought a few of these for vacation. Look good, feel good, nice and light. No complaints here
"
3.0 out of 5 stars,"
  Its to big to be large and its not the same the picture
"
5.0 out of 5 stars,"
  liked so much I bought 5.
"
5.0 out of 5 stars,"
  Very good and comfort shirt high quality fiber
"
3.0 out of 5 stars,"
  Nice quality shirt order XL like all my other shirt.  Fit fine across chest great but short in length when raise arm  up  to chest level.
"
5.0 out of 5 stars,"
  Great shirt!
"
5.0 out of 5 stars,"
  Love the fabric and quality
"
5.0 out of 5 stars,"
  Se encogió a la primera lavada
"
5.0 out of 5 stars,"
  I am 5.10 / 240 and medium looks absolutly perfect
"
5.0 out of 5 stars,"
  The shirt looks and feels fantastic.
"
4.0 out of 5 stars,"
  shirt quality was good but little shorter than expected. the fit wasn't the concern it was the length.
"
4.0 out of 5 stars,"
  El material
"
2.0 out of 5 stars,"
  Fit was not “generous” but tight across shoulders, and sleeves are too short.
"
5.0 out of 5 stars,"
  Great shirt...soft, well made, can’t go wrong with this shirt.  So happy bought 2 more...
"
5.0 out of 5 stars,"
  Soft and fits well
"
5.0 out of 5 stars,"
  Bro in law loves the shirt
"
4.0 out of 5 stars,"
  Me quedo muy bien, es fresca y ligera y la tela estira un poco
"
4.0 out of 5 stars,"
  Comfy looks good and not that expensive
"
5.0 out of 5 stars,"
  excellent
"
5.0 out of 5 stars,"
  It has a nice feel when wearing it and wasn't too big or too small,was perfect
"
5.0 out of 5 stars,"
  I love it
"
5.0 out of 5 stars,"
  all good
"
5.0 out of 5 stars,"
  Excelente producto
"
5.0 out of 5 stars,"
  great shirt
"
1.0 out of 5 stars,"
  Fake CC liquid , different labels from original
"
1.0 out of 5 stars,"
  After 1 wash, the collar was no longer straight. I would give it 0 stars, if possible.
"
1.0 out of 5 stars,"
  It shrank 2 sizes after the first wash.
"
4.0 out of 5 stars,"
  Was ok. Simple but nice
"
1.0 out of 5 stars,"
  This item is a counterfeit.  It is too poorly made to be an actual Calvin Klein shirt.
"
5.0 out of 5 stars,"
  Cool stuff
"
5.0 out of 5 stars,"
  I like .<br>Material looks like silk<br>Drape.soft.fine .luster...
"
5.0 out of 5 stars,"
  Fits well, shirt is soft. Will buy more.
"
5.0 out of 5 stars,"
  I’m trying to change it to get three XL
"
5.0 out of 5 stars,"
  Very nice material, good fit.
"
5.0 out of 5 stars,"
  Excellent product and service
"
5.0 out of 5 stars,"
  Good
"
5.0 out of 5 stars,"
  Very nice, definitely cool touch
"
5.0 out of 5 stars,"
  Everything is ok
"
5.0 out of 5 stars,"
  Very good quality
"
1.0 out of 5 stars,"
  MADE IN THE US: All Calvin Klein sportswear products are made and shipped in the US????<br>This is BS!!!! Its says made in Vietnam on the tag!!! Fix your false statement!!!!
"
5.0 out of 5 stars,"
  Muy buena calidad
"
5.0 out of 5 stars,"
  Good product, just as I expected!
"
4.0 out of 5 stars,"
  I have a hard time finding anything that's my size as far as my body typed being as small as it is so I mean I can appreciate the quality but It just didn't work for me
"
4.0 out of 5 stars,"
  This is a product by Calvin Klein that's honestly a sentence that says quite a bit quality satisfaction and a price that isn't nearly as comfortable as this fabric
"
2.0 out of 5 stars,"
  it actually shrunk after one wash
"
5.0 out of 5 stars,"
  Bonita tela queda perfecta
"
5.0 out of 5 stars,"
  Very good
"
5.0 out of 5 stars,"
  La talla y la calidad del producto que la perfección, solo que la mía llegó con botones blancos y en la imagen son negros, y además la mía sí tiene el logo de ck y en la imagen no, son detalles sin importancia pero si gustan tomarlos en cuenta
"
1.0 out of 5 stars,"
  The seller sent me a plain white shirt. The one in the picture is not real.
"
4.0 out of 5 stars,"
  Ligeramente mas pequeña que otras piezas que he comprado de la misma marca y modelo (Liquid Touch), la diferencia visible es la etiqueta, aún siendo el mismo modelo tienen distintas etiquetas y son de diferentes países de origen, esta en particular es made in Vietnam y las anteriores son made in Siri Lanka, no se si eso tenga algo que ver con la diferencia de ajuste. Otra pequeña diferencia también es el material, son 100% algodón pero se siente algo distinto.
"
2.0 out of 5 stars,"
  Tengan cuidado, no es el producto que muestran en la foto, es de menor calidad, el color parece deslavado no e sun negro solido<br>nisiquiera es la misma etiqueta tengo un par de CK y nada que ver con su calidad entre las que compre en una tienda departamental y esta.
"
5.0 out of 5 stars,"
  Con el toque que lo caracteriza la marca Calvin Clein de utilizar materiales finos de primera calidad, hace lucir una prenda muy cómoda y maravillosa. En cuanto a la talla (M, es mi caso) la considero dentro de lo normal, no queda grande ni tampoco estrecha.
"
5.0 out of 5 stars,"
  Una camisa muy cómoda para temporadas de calor, no se arruga casi y tiene un corte moderno. Por el precio de la oferta es una buena compra y sin duda adquiría otros productos similares por la calidad y confort además del corte.
"
5.0 out of 5 stars,"
  La playera tiene una excelente calidad, es del tipo de tela fresca y se ajusta muy bien al cuerpo, definitivamente volvería a comprar este producto.
"
1.0 out of 5 stars,"
  Total defective &amp; duplicate product. No brand logo on chest as shown in the picture. The brand tag is not available anywhere in the t-shirt (Neither the tag in neck side nor the washing/fabrication tag at interior side). Even the t-shirt is torn from the neck part where the brand tag used to stitched.<br>I have ordered for replacement and this time i expect the original one.
"
4.0 out of 5 stars,"
  El producto me quedo muy bien, use de referencia otras camisas de esta marca que tengo y son bastante precisas  pero el color es mucho más claro a como se ve en la imagen de un azul marino parece un cobalto o quiza más claro
"
5.0 out of 5 stars,"
  Excelente calidad de los materiales, la talla es un poco más grande, suelo ser talla mediana, pero pedí Chica y me quedó perfecta, ni ajustada ni holgada
"
5.0 out of 5 stars,"
  La talla es perfecta, quizá un poco grande pero en mi caso quedó perfecto como me gusta.<br><br>Es muy suave y la tela se siente muy bien.
"
5.0 out of 5 stars,"
  La tela de este tipo de camisas, algodón líquido, es lo mejor para el tacto, súper suave. Le quedó muy bien a mi esposo.
"
5.0 out of 5 stars,"
  Buen material de algodón. Pero no me amoldo bien
"
5.0 out of 5 stars,"
  La tela es muy suave y el diseño y color lo hacen un básico del guardarropa que nunca falla para hacerte ver cómodo y casual.
"
5.0 out of 5 stars,"
  Muy excelente calidad, gran compra. Es cómoda, fresca y se ve muy bien puesta.
"
