score,review
1.0 out of 5 stars,"
  I wore this shirt 1 time, then I washed it and both cuff sleeves have completely fallen apart! The fabric literally shredded. Extremely poor quality. Please stay away from this. Waste of 💰
"
5.0 out of 5 stars,"
  Great quality. Shirt was a perfect fit. Wore to compliment my wife’s dress for a night out event.
"
3.0 out of 5 stars,"
  Nice fit but a lot of loose threads hanging out all over the shirt.
"
2.0 out of 5 stars,"
  After the second laundering, a buttonhole on the front frayed and is now essentially unusable. Of course, I noticed this after the return date, so now face an expensive repair.  Beware.
"
5.0 out of 5 stars,"
  The quality and design of this dress shirt is extraordinary, especially given the cost. Well done, Van Heusen.
"
5.0 out of 5 stars,"
  Seems very well made and fit exactly like it should.
"
5.0 out of 5 stars,"
  pretty  - nice material  fast shipping and well packed
"
5.0 out of 5 stars,"
  This is a really nice looking shirt! Which I used to dress up.
"
1.0 out of 5 stars,"
  The shirt fit fine. My problem is the cuffs unraveled on the first time my husband wore it. Unfortunately it was past the date of making a return. Poor quality in sewing appears to be the cause. The seam did not fix the fabric it was supposed to hold. What a waste of money.
"
5.0 out of 5 stars,"
  Very nice shirt.  Well made and very comfortable.
"
5.0 out of 5 stars,"
  An exceptionally competent shirt at a fair price.
"
5.0 out of 5 stars,"
  La mejor opción en camisas lindas y de fácil planchado es VAN HAUSEN
"
5.0 out of 5 stars,"
  Looks great, fits great and arrived quickly.
"
5.0 out of 5 stars,"
  Cannot find 18 neck with a size 30/32 shirt anywhere. This one fit my boyfriend perfectly.
"
4.0 out of 5 stars,"
  Quality shirt. Only issue was LOTS of loose threads. I had to check each seam with a pair of scissors in hand to clean up all the dangling threads.
"
1.0 out of 5 stars,"
  This shirt is too short.  Not long enough.  Wish to return.  Please advise.
"
5.0 out of 5 stars,"
  Nice quality.  Fits great.<br>Husband really likes this shirt.
"
5.0 out of 5 stars,"
  Shirt was as described by seller. A few loose threads that had not been cut off which is not unusual for a shirt in this price range...overall very pleased.
"
5.0 out of 5 stars,"
  Fits just right. Will probably buy more in other colors and patterns.
"
5.0 out of 5 stars,"
  Needed a tall, but the shirt is quality
"
5.0 out of 5 stars,"
  Well-made shirt.  Feels and looks like an expensive dress shirt.
"
5.0 out of 5 stars,"
  Took correct measurements of myself and it fit great
"
1.0 out of 5 stars,"
  The fit was not at all as I expected.  The sleeves were way too long and the shirt was very baggy all around. So I ordered a different size and it fit very  well.
"
5.0 out of 5 stars,"
  This shirt was bought to replace the same shirt bought 20 years ago. Looks and feels to be the same product. We'll let you know if this one lasts 20 years. Van  Heusen is a great brand. The fit is exactly right.
"
4.0 out of 5 stars,"
  Comfortable but Not long enough. Barely tucks in my pants.
"
5.0 out of 5 stars,"
  Love the shirt.  I wish I could get some others in different patterns in my size.
"
5.0 out of 5 stars,"
  Good quality and one of the few items where I ordered what I normally wear and it came in just right..
"
